Origin,Origin_Name,CO,Origin_Port,Port_LAD_Code
BUS,BUSAN ,KR,BUS,58023
CAN,GUANGZHOU,CN,CAN,57071
CGP,CHITTAGONG,BD,CGP,53827
CHN,CHIWAN,CN,CHN,57067
DAD,DA NANG,VN,DAD,55204
DUR,DURBAN,ZA,DUR,79113
FOC,FUZHOU,CN,FOC,57015
HFA,HAIFA,IL,HFA,50801
HKG,HONG KONG,HK,HKG,58201
HPH,HAIPHONG,VN,HPH,55201
IST,ISTANBUL,TR,IST,48945
IZM,IZMIR,TR,IZM,48939
JI2,JIANGMEN,CN,JI2,57000
JKT,JAKARTA,ID,JKT,56033
KEL,KEELUNG,TW,KEE,58301
KEE,KEELUNG,TW,KEE,58301
KHH,KAOHSIUNG,TW,KHH,57000
LAE,LAEM CHABANG,TH,LAE,54930
LYG,LIANYUNGANG,CN,LYG,57025
MAA,MADRAS,IN,MAA,53357
NBO,NIN GBO,CN,NGB,57020
NGB,NINGBO,CN,NGB,57000
NTG,NANTONG,CN,NTG,57074
PEC,PELICAN,BR,PEC,35198
PNH,PHNOM PENH,KH,PNH,55500
SEK,CHEKOU,CN,SEK,57018
SGN,HO CHI MINH CITY,VN,SGN,55224
SHA,SHANGHAI,CN,SHA,57035
SIN,SINGAPORE,SG,SIN,55976
TAO,QINGDAO ,CN,TAO,57047
TXG,XIN GANG,CN,XIC,57017
TZ4,TAIZHOU,CN,TZ4,57000
XIC,XINGANG,CN,XIC,57017
XMN,XIAMEN,CN,XMN,57069
YAT,YANTIAN,CN,YAN,57078
YAN,YANTIAN,CN,YAN,57078
ZMY,HAUNGPU,CN,ZMY,57000
ZUH,ZHU HAI,CN,ZUH,57077
STZ,SANTO TOMAS DE CASTILLA,GT,SDC,20505
MBA,MOMBOSA,KE,MBA,77913
LEM,LAEM CHABANG,TH,LEM,54930
